fips,ruc93,ruc03,ruc13,metro93,metro03,metro13,year,fmr,tot_pop,black_pct,female_pct,county,stname,pay,employment,establishments,emp,unemp,long,lat,long_d,lat_d,return_katrina,exmpt_katrina,agi_katrina,return_katrina_eyer,exmpt_katrina_eyer,agi_katrina_eyer,return_katrina_eyer_noho,exmpt_katrina_eyer_noho,agi_katrina_eyer_noho,return_own,exmpt_own,agi_own,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp,area_sqm
22095,1,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,26048,11584,686,17920,2103,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,132,329,3550,0.014483212639894667,0.01930298052100446,0.012588384644298348,0.014483212639894667,0.01930298052100446,0.012588384644298348,12199,31470,416095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
22103,0,1,1,metro,metro,metro,1996,482,NA,NA,NA,NA,NA,19753,48790,4088,81613,4613,-89.96507421897307,30.40707395540083,-89.96507421897307,30.40707395540083,1673,4030,77870,0.1835637480798771,0.2364468434639756,0.27612887669056685,0.1835637480798771,0.2364468434639756,0.27612887669056685,56778,140647,2650010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0,1112.279
22109,3,3,3,metro,metro,metro,1996,385,NA,NA,NA,NA,NA,25203,41461,2545,42295,1959,-90.83826892736919,29.44769871397419,-90.83826892736919,29.44769871397419,263,568,7016,0.028856703971911344,0.03332551044355785,0.024878903285745692,0.028856703971911344,0.03332551044355785,0.024878903285745692,29353,73694,1008443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1,1425.964
22051,0,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,25383,209820,13299,230027,12278,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,2971,5346,92461,0.30944693261118633,0.30692387185669995,0.2958723596253476,0.30944693261118633,0.30692387185669995,0.2958723596253476,162176,352885,6286014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
22057,3,3,3,metro,metro,metro,1997,396,NA,NA,NA,NA,NA,24540,27968,1839,40061,1273,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,333,709,8777,0.03468388709509426,0.040705017797680564,0.02808613037314842,0.03468388709509426,0.040705017797680564,0.02808613037314842,31017,75884,1203905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,29467,261845,13157,193270,14983,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,3907,6086,107605,0.40693677741901885,0.3494086577104145,0.3443326944061337,0.40693677741901885,0.3494086577104145,0.3443326944061337,152175,323292,4844681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,34541,18132,823,10341,598,-89.61071603949237,29.4372379556305,-89.61071603949237,29.4372379556305,10,18,254,0.0010415581710238517,0.0010334137099552187,8.127921971949069e-4,0.0010415581710238517,0.0010334137099552187,8.127921971949069e-4,8644,21e3,313626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,23474,15796,1151,30509,2095,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,81,152,1920,0.0084366211852932,0.00872660466184407,0.0061439410181662255,0.0084366211852932,0.00872660466184407,0.0061439410181662255,23244,52954,782820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
22089,0,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,35828,20625,893,21991,1280,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,91,199,3033,0.00947817935631705,0.011424962682282696,0.009705506827134459,0.00947817935631705,0.011424962682282696,0.009705506827134459,16951,42868,732594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
22095,1,1,1,metro,metro,metro,1997,482,NA,NA,NA,NA,NA,27239,12291,695,18383,1537,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,112,241,3498,0.011665451515467138,0.013836261338844873,0.011193492542471593,0.011665451515467138,0.013836261338844873,0.011193492542471593,12280,31136,446504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
