FIPS10,year,fmr
01099,2000,347
01099,2001,350
01099,2002,359
01099,2003,370
01099,2004,370
01099,2005,393
01099,2006,435
01099,2007,453
01099,2008,481
01099,2009,514
01099,2010,536
01099,2011,536
01099,2012,499
01099,2013,584
01099,2014,566
01099,2015,599
01099,2016,569
01099,2017,621
01101,1983,269
01101,1985,279
01101,1986,336
01101,1987,343
01101,1988,352
01101,1989,357
01101,1990,365
01101,1991,374
01101,1992,387
01101,1993,397
01101,1994,456
01101,1995,444
01101,1996,459
01101,1997,473
01101,1998,486
01101,1999,496
01101,2000,499
01101,2001,507
01101,2002,522
01101,2003,535
01101,2004,537
01101,2005,583
01101,2006,599
01101,2007,623
01101,2008,660
01101,2009,706
01101,2010,735
01101,2011,735
01101,2012,723
01101,2013,790
01101,2014,710
01101,2015,788
01101,2016,788
01101,2017,822
01103,1983,300
01103,1985,311
01103,1986,319
01103,1987,326
01103,1988,335
01103,1989,340
01103,1990,347
01103,1991,356
01103,1992,368
