disaster,state,county,year,amount,structure,type,amount_sum
1898,Pennsylvania,NA,2010,98432,Single Family,Owner Occupied - Principal Residence,98432
1915,South Dakota,Day,2010,99185,Single Family,Owner Occupied - Principal Residence,1181188
1909,Tennessee,Cheatham,2010,198000,Single Family,Owner Occupied - Principal Residence,527000
1909,Tennessee,Davidson,2010,223619,Single Family,Owner Occupied - Principal Residence,14095357
1909,Tennessee,Decatur,2010,119676,Single Family,Owner Occupied - Principal Residence,119676
1909,Tennessee,Haywood,2010,93000,2-4 Family,Rental,802841
1909,Tennessee,Houston,2010,427167,Non-residential - Private,Other (Specify in Comments),540210
1909,Tennessee,Maury,2010,107119,2-4 Family,Rental,1183144
1909,Tennessee,Montgomery,2010,127697,Single Family,Owner Occupied - Principal Residence,442872
1909,Tennessee,Robertson,2010,81500,Single Family,Owner Occupied - Secondary Residence,81500
1909,Tennessee,Rutherford,2010,198388,Single Family,Owner Occupied - Principal Residence,449821
1909,Tennessee,Shelby,2010,185000,Single Family,Owner Occupied - Principal Residence,289062
1909,Tennessee,Smith,2010,82961,Single Family,Rental,486336
1909,Tennessee,Sumner,2010,653467,Single Family,Owner Occupied - Principal Residence,1442208
1909,Tennessee,Williamson,2010,243502,Single Family,Owner Occupied - Principal Residence,1924363
1905,Virginia,Chesapeake (city),2010,235100,Single Family,Owner Occupied - Principal Residence,1263600
1905,Virginia,Isle of Wight,2010,129000,Single Family,Rental,129000
1918,West Virginia,Boone,2010,187000,Multi-Family Dwelling - 5 or More Units,Owner Occupied - Principal Residence,187000
1903,West Virginia,Brooke,2010,2000,Single Family,Owner Occupied - Principal Residence,288835
1893,West Virginia,Harrison,2010,32000,Other (Specify in Comments),Other (Specify in Comments),181800
1893,West Virginia,Kanawha,2010,40000,Single Family,Owner Occupied - Principal Residence,270000
1918,West Virginia,NA,2010,99000,Single Family,Owner Occupied - Principal Residence,379000
1918,West Virginia,Nicholas,2010,175000,Single Family,Owner Occupied - Principal Residence,175000
1893,West Virginia,Wood,2010,161282,Single Family,Rental,290094
1893,West Virginia,Wyoming,2010,31600,Single Family,Owner Occupied - Principal Residence,31600
1944,Wisconsin,Marathon,2010,425000,Single Family,Owner Occupied - Principal Residence,595000
1944,Wisconsin,NA,2010,60000,Single Family,Owner Occupied - Principal Residence,60000
1973,Georgia,Decatur,2011,448000,Single Family,Owner Occupied - Principal Residence,448000
1973,Georgia,Douglas,2011,186707,Single Family,Owner Occupied - Principal Residence,278512
1998,Iowa,Dubuque,2011,280470,Manufactured Home,Owner Occupied - Principal Residence,289870
1998,Iowa,Pottawattamie,2011,45511,Single Family,Owner Occupied - Principal Residence,3309827
1976,Kentucky,Lincoln,2011,141250,Single Family,Owner Occupied - Principal Residence,824250
1972,Mississippi,Warren,2011,4304,Other (Specify in Comments),Rental,320035
1983,Mississippi,Washington,2011,680963,Single Family,Owner Occupied - Principal Residence,680963
1980,Missouri,Jasper,2011,84227,Single Family,Owner Occupied - Principal Residence,90349
1980,Missouri,Ripley,2011,23422,Single Family,Owner Occupied - Principal Residence,23422
1980,Missouri,Taney,2011,106332,Single Family,Owner Occupied - Principal Residence,2238812
4026,New Hampshire,Carroll,2011,36789,Single Family,Owner Occupied - Principal Residence,354500
4020,New York,Broome,2011,48065,Single Family,Owner Occupied - Principal Residence,646329
4020,New York,Chenango,2011,28446,Single Family,Owner Occupied - Principal Residence,132120
4020,New York,Clinton,2011,41250,Single Family,Owner Occupied - Principal Residence,203862
4020,New York,Essex,2011,331076,Single Family,NA,2719227
1981,North Dakota,Barnes,2011,75600,Single Family,Owner Occupied - Principal Residence,410565
1981,North Dakota,Pembina,2011,62500,Single Family,Owner Occupied - Principal Residence,100000
1981,North Dakota,Ramsey,2011,663318,Single Family,Owner Occupied - Principal Residence,850068
1981,North Dakota,Traill,2011,216250,Single Family,Owner Occupied - Principal Residence,216250
1981,North Dakota,Ward,2011,157500,Single Family,Owner Occupied - Principal Residence,935047
4030,Pennsylvania,Chester,2011,218935,Single Family,Owner Occupied - Principal Residence,218935
4030,Pennsylvania,Dauphin,2011,109000,Single Family,Owner Occupied - Principal Residence,867041
4025,Pennsylvania,Lebanon,2011,135376,Single Family,Owner Occupied - Principal Residence,161486
4025,Pennsylvania,Luzerne,2011,14900,Other (Specify in Comments),Not Applicable,67877
4030,Pennsylvania,Montgomery,2011,321167,Single Family,Owner Occupied - Principal Residence,1295745
4025,Pennsylvania,Northumberland,2011,80400,Single Family,Owner Occupied - Principal Residence,80400
4025,Pennsylvania,Sullivan,2011,64800,2-4 Family,Owner Occupied - Principal Residence,64800
4030,Pennsylvania,Susquehanna,2011,15000,Single Family,Owner Occupied - Principal Residence,15000
1984,South Dakota,Day,2011,72525,Single Family,Owner Occupied - Principal Residence,72525
4011,Utah,Davis,2011,182000,Single Family,Rental,182000
4068,Florida,Hernando,2012,212655,Single Family,Owner Occupied - Principal Residence,212655
4091,Maryland,Allegany,2012,75000,Manufactured Home,Not Applicable,75000
4069,Minnesota,Carlton,2012,153500,Single Family,Owner Occupied - Principal Residence,153500
4069,Minnesota,Pine,2012,704006,Single Family,Owner Occupied - Principal Residence,3742378
4077,Ohio,Jackson,2012,212383,Non-residential - Private,Other (Specify in Comments),212383
4099,Pennsylvania,Chester,2012,55000,Single Family,Owner Occupied - Principal Residence,55000
4099,Pennsylvania,Dauphin,2012,272278,Single Family,Owner Occupied - Principal Residence,272278
4099,Pennsylvania,York,2012,64430,Single Family,Owner Occupied - Principal Residence,64430
4059,West Virginia,Berkeley,2012,55000,Vacant Land,Owner Occupied - Secondary Residence,1086000
4071,West Virginia,Greenbrier,2012,52700,Single Family,Owner Occupied - Principal Residence,620700
4093,West Virginia,Kanawha,2012,80000,Single Family,Owner Occupied - Principal Residence,2593000
4061,West Virginia,Marshall,2012,42000,Single Family,Owner Occupied - Principal Residence,106500
4061,West Virginia,Taylor,2012,16000,Vacant Land,Not Applicable,372000
4076,Wisconsin,Richland,2012,13000,Single Family,Owner Occupied - Secondary Residence,13000
4114,Iowa,Linn,2013,1044,Single Family,Owner Occupied - Principal Residence,1044
4114,Iowa,Marshall,2013,59699,Single Family,Owner Occupied - Principal Residence,59699
4119,Iowa,Story,2013,19000,Single Family,Owner Occupied - Principal Residence,19000
4131,Minnesota,Blue Earth,2013,386000,Single Family,Owner Occupied - Principal Residence,386000
4131,Minnesota,Pine,2013,91410,Single Family,Owner Occupied - Secondary Residence,91410
4156,Nebraska,Gage,2013,40000,Other (Specify in Comments),Other (Specify in Comments),40000
